word,meaning
ability,能力
abilities,能力
about,約、〜について
also,また、
asked,尋ねた
attraction,魅力
be about to,まさに今〜するところ
billing,払い出し
change,変える
change the world,世界を変える
coral,珊瑚(サンゴ)
crisis,危機
cuisine,料理
donation,寄付
donations,寄付
Each other,お互い
Each of,それぞれ
effort,努力
elder,年寄り
elders,年寄り
era,時代
extinct,絶滅
find out,見つける
found out,見つけた
forbid,禁じる
forbidden,禁じられた
fraud,詐欺、詐偽
generation,世代
get over,乗り越える
grandparent,祖父母のどちらか
grandparents,祖父母
hand down,継承する、語り継ぐ
impress,感銘を与える
important,重要な
important role,重要な役割
in front of,〜の前で
in this way,このようにして、
mainland,本島、本土
make effort,努力する
marine,海洋、海の
milky,乳白色
Milky way,天の川
one of,〜のひとつ
reef,岩礁
reefs,岩礁
role,役割
rule,規則、支配
stall,屋台
stalls,屋台
sympathize,共鳴、共感
sympathized,共鳴した、共感した
traditional,伝統的な
various,様々
virtual,仮想、バーチャル
volunteer work,ボランティア活動
when,その時、〜の時
work,活動、仕事
